arch,cache_type_k,cache_type_v,category,ctx_size,decode_throughput_tok_s,engine,experiment_dir,goodput_sla_fraction_mean,max_tokens,max_vmhwm_kb,model,model_label,node_count,parallel_requests,prompt_id,replica_count,source,successful_runs,suite,threads,threads_batch,total_throughput_output_tok_s_mean,tpot_s_mean_across_replicas,ttft_s_mean_across_replicas
unknown,turbo3,turbo3,medium,2048,6.619643686508325,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_quant_tradeoff,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.615896911925909,0.15106553273224163,0.16157372598536313
unknown,turbo3,turbo3,medium,2048,6.591601571629775,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_thread_scaling,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.587927121091504,0.15170819855131956,0.16209370602155104
unknown,turbo3,turbo3,short,2048,7.624473029725885,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,mandatory_short_capital_france,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,3.2275972654174967,0.13115660532882126,1.2499203869956546
unknown,turbo3,turbo3,short,2048,6.951004162339181,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_batching,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.9468034084612835,0.14386410605507044,0.1545365889905952
unknown,turbo3,turbo3,short,2048,6.901939262125156,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_cpu_quantisation,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,5.8038141067726885,0.14488681543281112,3.6534037759993225
unknown,turbo3,turbo3,short,2048,6.996049831286598,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_kv_cache,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.9916641080096715,0.14293780406308176,0.15399612695910037
unknown,turbo3,turbo3,short,2048,6.962359679397074,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_threading_definition,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.9585424639321625,0.14362946559040712,0.15328321000561118
unknown,turbo4,turbo4,long,2048,6.193555038290149,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_concurrency_server,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.186842619759679,0.16145815994493357,0.18345820298418403
unknown,turbo4,turbo4,long,2048,5.83078336013216,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_hpc_case_study,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,5.825278179472266,0.17150354218911232,0.19183068902930245
unknown,turbo4,turbo4,long,2048,6.040684653456453,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_memory_bound_reasoning,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.034406174742077,0.16554414894473996,0.18716750899329782
