experiment_dir,run_dir,suite,engine,node_rank,node,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,trials_configured,warmup_trials,bench_concurrency,mandatory_only,limit_per_category,category,prompt_id,runs,successful_runs,ttft_s_mean,ttft_s_stdev,tpot_s_mean,tpot_s_stdev,throughput_output_tok_s_mean,throughput_output_tok_s_stdev,goodput_sla_fraction,max_rss_kb,max_vmhwm_kb
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_2_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0055,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,f16,f16,128,3,1,2,0,3,long,mandatory_long_transformer_cpu,3,3,0.41823918200680055,0.05493602597779166,0.24919315914698606,0.00012933542067984847,3.9917211072103287,0.005366672740319549,0.0,5796416,5797504
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_2_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0055,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,f16,f16,128,3,1,2,0,3,medium,mandatory_medium_ml_vs_dl,3,3,0.38724083301106776,0.04523519623816309,0.2450121242572551,0.0003185856805128688,4.062924520669952,0.002234701855776748,0.0,5796416,5797504
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_2_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0055,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,f16,f16,128,3,1,2,0,3,medium,medium_cpu_inference_pipeline,3,3,0.38539356433708843,0.04565301213312119,0.24513495217316988,0.00022695264128036813,4.061080081637414,0.0031950098398094975,0.0,5796416,5797504
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_2_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0055,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,f16,f16,128,3,1,2,0,3,medium,medium_quant_tradeoff,3,3,0.4004012049990706,0.037498839233909495,0.24877126833335056,0.00047504607290716513,4.000580839937736,0.0033523839109637324,0.0,5796416,5797504
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_2_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0055,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,f16,f16,128,3,1,2,0,3,short,mandatory_short_capital_france,3,3,1.497417709324509,0.04295977391046666,0.2465771269991011,0.005851380819879417,2.171946421777855,0.056209618004765115,0.0,5796416,5797504
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_2_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0055,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,f16,f16,128,3,1,2,0,3,short,short_cpu_quantisation,3,3,4.014159852997788,4.4030817792717905,0.2585343940025703,0.011691314671711105,3.4875834532535643,0.2642166334228611,0.0,5796416,5797504
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_2_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0055,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,f16,f16,128,3,1,2,0,3,short,short_threading_definition,3,3,5.076854085006441,3.4805184617078666,0.24463923864300044,0.00035313548157427587,3.5625000928239556,0.32884022622828235,0.0,5796416,5797504
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_4_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0079,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,4,f16,f16,128,3,1,4,0,3,long,long_hpc_case_study,3,3,0.7662025020011546,0.03507150604646172,0.49560624175858403,0.008140602692743677,2.0095094238548676,0.033675148463104286,0.0,5801856,5803072
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_4_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0079,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,4,f16,f16,128,3,1,4,0,3,long,long_memory_bound_reasoning,3,3,0.8203662413288839,0.0949568433465849,0.49810683892125,0.009269604501557378,1.9979794072393136,0.03943985721478874,0.0,5801856,5803072
measurements/1254637-track-a1-vanilla-blas-sweep,measurements/1254637-track-a1-vanilla-blas-sweep/concurrency/vanilla-blis/model-1-mandatory/t_24_c_2048_p_4_n_128_k_f16_v_f16,concurrency,vanilla-blis,,cna0079,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,4,f16,f16,128,3,1,4,0,3,long,mandatory_long_transformer_cpu,3,3,0.7679649453299741,0.036985775547875736,0.492227401955327,0.00430937767926266,2.0228032204266206,0.01820571446090552,0.0,5801856,5803072
