timestamp,cpu_percent,rss_kb
2026-05-14T22:29:00+01:00,22.0,6199172
2026-05-14T22:29:01+01:00,22.5,6199172
2026-05-14T22:29:02+01:00,22.9,6199172
2026-05-14T22:29:03+01:00,23.4,6199172
2026-05-14T22:29:04+01:00,23.8,6199172
2026-05-14T22:29:05+01:00,24.2,6199172
2026-05-14T22:29:06+01:00,24.7,6199172
2026-05-14T22:29:07+01:00,25.1,6199172
2026-05-14T22:29:08+01:00,25.5,6199172
2026-05-14T22:29:09+01:00,25.9,6199172
2026-05-14T22:29:10+01:00,26.3,6199172
2026-05-14T22:29:11+01:00,26.7,6199172
2026-05-14T22:29:12+01:00,27.1,6199172
2026-05-14T22:29:13+01:00,27.5,6199184
2026-05-14T22:29:14+01:00,27.9,6199184
2026-05-14T22:29:15+01:00,28.3,6199184
2026-05-14T22:29:16+01:00,28.7,6199184
2026-05-14T22:29:17+01:00,29.1,6199184
2026-05-14T22:29:19+01:00,29.3,6199184
2026-05-14T22:29:20+01:00,29.7,6199184
2026-05-14T22:29:21+01:00,30.1,6199184
2026-05-14T22:29:22+01:00,30.4,6199184
2026-05-14T22:29:23+01:00,30.8,6199184
2026-05-14T22:29:24+01:00,31.2,6199184
2026-05-14T22:29:25+01:00,31.5,6199184
2026-05-14T22:29:26+01:00,31.9,6199184
2026-05-14T22:29:27+01:00,32.2,6199188
2026-05-14T22:29:28+01:00,32.6,6199188
2026-05-14T22:29:29+01:00,32.9,6199188
2026-05-14T22:29:30+01:00,33.2,6199188
2026-05-14T22:29:31+01:00,33.6,6199188
2026-05-14T22:29:32+01:00,33.9,6199316
2026-05-14T22:29:33+01:00,34.2,6199316
2026-05-14T22:29:34+01:00,34.6,6199316
2026-05-14T22:29:35+01:00,34.9,6199316
2026-05-14T22:29:36+01:00,35.2,6199316
2026-05-14T22:29:38+01:00,35.5,6199316
2026-05-14T22:29:39+01:00,35.7,6199316
2026-05-14T22:29:40+01:00,36.0,6199316
2026-05-14T22:29:41+01:00,36.3,6199316
2026-05-14T22:29:42+01:00,36.6,6199316
2026-05-14T22:29:43+01:00,36.9,6199316
2026-05-14T22:29:44+01:00,37.2,6199316
2026-05-14T22:29:45+01:00,37.5,6199316
2026-05-14T22:29:46+01:00,37.8,6199316
2026-05-14T22:29:47+01:00,38.1,6199316
2026-05-14T22:29:48+01:00,38.4,6199316
2026-05-14T22:29:49+01:00,38.7,6199316
2026-05-14T22:29:50+01:00,39.0,6199316
2026-05-14T22:29:51+01:00,39.3,6199316
2026-05-14T22:29:52+01:00,39.5,6199316
2026-05-14T22:29:53+01:00,39.8,6199316
2026-05-14T22:29:54+01:00,40.1,6199316
2026-05-14T22:29:55+01:00,40.4,6199316
2026-05-14T22:29:57+01:00,40.6,6199316
2026-05-14T22:29:58+01:00,40.7,6199316
2026-05-14T22:29:59+01:00,41.0,6199316
2026-05-14T22:30:00+01:00,41.3,6199316
2026-05-14T22:30:01+01:00,41.5,6199316
2026-05-14T22:30:02+01:00,41.8,6199316
2026-05-14T22:30:03+01:00,42.0,6199316
2026-05-14T22:30:04+01:00,42.3,6199316
2026-05-14T22:30:05+01:00,42.5,6199316
2026-05-14T22:30:06+01:00,42.8,6199316
2026-05-14T22:30:07+01:00,43.1,6199316
2026-05-14T22:30:08+01:00,43.3,6199316
2026-05-14T22:30:09+01:00,43.5,6199316
2026-05-14T22:30:10+01:00,43.8,6199316
2026-05-14T22:30:11+01:00,44.0,6199316
2026-05-14T22:30:12+01:00,44.3,6199316
2026-05-14T22:30:13+01:00,44.5,6199316
2026-05-14T22:30:14+01:00,44.7,6199316
2026-05-14T22:30:15+01:00,45.0,6199316
2026-05-14T22:30:17+01:00,45.2,6199316
2026-05-14T22:30:18+01:00,45.3,6199316
2026-05-14T22:30:19+01:00,45.5,6199316
2026-05-14T22:30:20+01:00,45.7,6199316
2026-05-14T22:30:21+01:00,45.9,6199316
2026-05-14T22:30:22+01:00,46.2,6199316
2026-05-14T22:30:23+01:00,46.4,6199444
2026-05-14T22:30:24+01:00,46.6,6199444
2026-05-14T22:30:25+01:00,46.8,6199444
2026-05-14T22:30:26+01:00,47.0,6199444
2026-05-14T22:30:27+01:00,47.3,6199444
2026-05-14T22:30:28+01:00,47.5,6199444
2026-05-14T22:30:29+01:00,47.7,6199444
2026-05-14T22:30:30+01:00,47.9,6199444
2026-05-14T22:30:31+01:00,48.1,6199444
2026-05-14T22:30:32+01:00,48.3,6199444
2026-05-14T22:30:33+01:00,48.5,6199444
2026-05-14T22:30:34+01:00,48.7,6199444
2026-05-14T22:30:35+01:00,48.9,6199444
2026-05-14T22:30:37+01:00,49.1,6199444
2026-05-14T22:30:38+01:00,49.1,6199444
2026-05-14T22:30:39+01:00,49.3,6199444
2026-05-14T22:30:40+01:00,49.5,6199444
2026-05-14T22:30:41+01:00,49.7,6199444
2026-05-14T22:30:42+01:00,49.9,6199444
2026-05-14T22:30:43+01:00,50.1,6199444
2026-05-14T22:30:44+01:00,50.3,6199444
2026-05-14T22:30:45+01:00,50.5,6199444
2026-05-14T22:30:46+01:00,50.7,6199444
2026-05-14T22:30:47+01:00,50.9,6199444
2026-05-14T22:30:48+01:00,51.1,6199444
2026-05-14T22:30:49+01:00,51.3,6199444
2026-05-14T22:30:50+01:00,51.4,6199444
2026-05-14T22:30:51+01:00,51.6,6199444
2026-05-14T22:30:52+01:00,51.8,6199444
2026-05-14T22:30:53+01:00,52.0,6199444
2026-05-14T22:30:54+01:00,52.2,6199444
2026-05-14T22:30:56+01:00,52.3,6199444
2026-05-14T22:30:57+01:00,52.3,6199444
2026-05-14T22:30:58+01:00,52.5,6199444
2026-05-14T22:30:59+01:00,52.7,6199444
2026-05-14T22:31:00+01:00,52.9,6199444
2026-05-14T22:31:01+01:00,53.0,6199444
2026-05-14T22:31:02+01:00,53.2,6199444
2026-05-14T22:31:03+01:00,53.4,6199444
2026-05-14T22:31:04+01:00,53.5,6199444
2026-05-14T22:31:05+01:00,53.7,6199444
2026-05-14T22:31:06+01:00,53.9,6199444
2026-05-14T22:31:07+01:00,54.0,6199444
2026-05-14T22:31:08+01:00,54.2,6199444
2026-05-14T22:31:09+01:00,54.4,6199444
2026-05-14T22:31:10+01:00,54.5,6199444
2026-05-14T22:31:11+01:00,54.7,6199444
2026-05-14T22:31:12+01:00,54.9,6199572
2026-05-14T22:31:13+01:00,55.0,6199572
2026-05-14T22:31:14+01:00,55.2,6199572
2026-05-14T22:31:16+01:00,55.3,6199572
2026-05-14T22:31:17+01:00,55.3,6199572
2026-05-14T22:31:18+01:00,55.5,6199572
2026-05-14T22:31:19+01:00,55.6,6199572
2026-05-14T22:31:20+01:00,55.8,6199572
2026-05-14T22:31:21+01:00,55.9,6199572
2026-05-14T22:31:22+01:00,56.1,6199572
2026-05-14T22:31:23+01:00,56.2,6199572
2026-05-14T22:31:24+01:00,56.4,6199572
