experiment_dir,suite,engine,node_count,replica_count,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,short,short_kv_cache,1,6.9916641080096715,0.15399612695910037,0.14293780406308176,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,short,short_threading_definition,1,6.9585424639321625,0.15328321000561118,0.14362946559040712,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,long,long_concurrency_server,1,6.186842619759679,0.18345820298418403,0.16145815994493357,1.0,5154176.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,long,long_hpc_case_study,1,5.825278179472266,0.19183068902930245,0.17150354218911232,1.0,5154176.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,long,long_memory_bound_reasoning,1,6.034406174742077,0.18716750899329782,0.16554414894473996,1.0,5154176.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,long,long_quantisation_evaluation,1,6.148709799856962,0.18453409598441795,0.1624599009212363,1.0,5154176.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,long,mandatory_long_transformer_cpu,1,6.513218090195378,0.16922169795725495,0.15340695550388428,1.0,5154176.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,medium,mandatory_medium_ml_vs_dl,1,7.252550608938348,0.15202986798249185,0.13776771533834622,1.0,5154176.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,medium,medium_concurrency,1,6.968517950752408,0.15809529600664973,0.14338424387406265,1.0,5154176.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,medium,medium_cpu_inference_pipeline,1,6.892295181872712,0.15941003401530907,0.1449733999054549,1.0,5154176.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo4,turbo4,128,medium,medium_quant_tradeoff,1,6.967689890279511,0.15777080901898444,0.1434037701573267,1.0,5154176.0
